total_pnl,n_fills,n_adverse,afr,abstentions,episode,agent
-44.631658411040554,10,0,0.0,1990,48,PPO
-29.10971916914568,10,0,0.0,1990,49,PPO
-28.470987296111705,10,0,0.0,1990,50,PPO
-29.62184350491734,10,0,0.0,1990,51,PPO
-24.5354020834071,10,0,0.0,1990,52,PPO
-26.483835697190077,10,0,0.0,1990,53,PPO
-30.51065838337818,10,0,0.0,1990,54,PPO
-31.92486829759,10,0,0.0,1990,55,PPO
-30.197034168255048,10,0,0.0,1990,56,PPO
-29.723579800143487,10,0,0.0,1990,57,PPO
-29.998309910306126,10,0,0.0,1990,58,PPO
-33.06170839072147,10,0,0.0,1990,59,PPO
-30.25535068513418,10,0,0.0,1990,60,PPO
-31.585993731032065,10,0,0.0,1990,61,PPO
-29.77354513407918,10,0,0.0,1990,62,PPO
-29.08011872769712,10,0,0.0,1990,63,PPO
-19.09942420722073,10,0,0.0,1990,64,PPO
-20.396899914756066,10,0,0.0,1990,65,PPO
-36.72180321217602,10,0,0.0,1990,66,PPO
-29.188476824770625,10,0,0.0,1990,67,PPO
-31.068994963172006,10,0,0.0,1990,68,PPO
-30.581158518799928,10,0,0.0,1990,69,PPO
-29.77217513324431,10,0,0.0,1990,70,PPO
-43.331870317475115,10,0,0.0,1990,71,PPO
-26.870909607417705,10,0,0.0,1990,72,PPO
-46.10000000001455,10,0,0.0,1990,73,PPO
-33.297956979289296,10,0,0.0,1990,74,PPO
-35.68189167977253,10,0,0.0,1990,75,PPO
-27.12734375001455,10,0,0.0,1990,76,PPO
-24.337066507354027,10,0,0.0,1990,77,PPO
-27.776879394064597,10,0,0.0,1990,78,PPO
-27.749213624012192,10,0,0.0,1990,79,PPO
-29.16615860463353,10,0,0.0,1990,80,PPO
-35.96580923797009,10,0,0.0,1990,81,PPO
-25.3914835929987,10,0,0.0,1990,82,PPO
-25.917118024839144,10,0,0.0,1990,83,PPO
-29.01587803364382,10,0,0.0,1990,84,PPO
-20.731261825568797,10,0,0.0,1990,85,PPO
-34.45260086060589,10,0,0.0,1990,86,PPO
-18.728195619596228,10,0,0.0,1990,87,PPO
-28.167586898818264,10,0,0.0,1990,88,PPO
-29.22500000001455,10,0,0.0,1990,89,PPO
-23.10641086102405,10,0,0.0,1990,90,PPO
-22.837219226371964,10,0,0.0,1990,91,PPO
-31.975309956085404,10,0,0.0,1990,92,PPO
-33.03821148873394,10,0,0.0,1990,93,PPO
-31.063668787495406,10,0,0.0,1990,94,PPO
-23.17662049533246,10,0,0.0,1990,95,PPO
-26.54681508542271,10,0,0.0,1990,96,PPO
